rank,name
1,Christian McCaffrey
2,Tyreek Hill
3,CeeDee Lamb
4,Ja'Marr Chase
5,Justin Jefferson
6,Amon-Ra St. Brown
7,Bijan Robinson
8,Breece Hall
9,A.J. Brown
10,Puka Nacua
11,Garrett Wilson
12,Jahmyr Gibbs
13,Jonathan Taylor
14,Stefon Diggs
15,Saquon Barkley
16,Kyren Williams
17,DJ Moore
18,Davante Adams
19,Mike Evans
20,Michael Pittman Jr.
21,Brandon Aiyuk
22,Derrick Henry
23,Marvin Harrison Jr.
24,Travis Kelce
25,Deebo Samuel
26,Nico Collins
27,Travis Etienne Jr.
28,Sam LaPorta
29,Josh Jacobs
30,Cooper Kupp
31,De'Von Achane
32,Trey McBride
33,Tee Higgins
34,Raheem Mostert
35,Mark Andrews
36,Drake London
37,Chris Olave
38,Jaylen Waddle
39,Amari Cooper
40,Josh Allen
41,DeVonta Smith
42,Keenan Allen
43,Lamar Jackson
44,DK Metcalf
45,Isiah Pacheco
46,Alvin Kamara
47,Rachaad White
48,Kenneth Walker III
49,James Cook
50,Patrick Mahomes
51,Joe Mixon
52,George Kittle
53,Aaron Jones
54,Dalton Kincaid
55,Zay Flowers
56,Malik Nabers
57,Jalen Hurts
58,Rashee Rice
59,James Conner
60,Christian Kirk
61,Austin Ekeler
62,C.J. Stroud
63,Anthony Richardson
64,Tony Pollard
65,Kyler Murray
66,Tank Dell
67,George Pickens
68,David Njoku
69,Calvin Ridley
70,Terry McLaurin
71,Jayden Reed
72,Jordan Addison
73,David Montgomery
74,Chris Godwin
75,DeAndre Hopkins
76,Evan Engram
77,D'Andre Swift
78,Dak Prescott
79,Rhamondre Stevenson
80,Joe Burrow
81,Jordan Love
82,Tyler Lockett
83,Kyle Pitts
84,Diontae Johnson
85,Najee Harris
86,Marquise Brown
87,Christian Watson
88,Jaylen Warren
89,Jake Ferguson
90,Brock Bowers
91,Javonte Williams
92,Zamir White
93,Jayden Daniels
94,Gus Edwards
95,Courtland Sutton
96,Mike Williams
97,Rome Odunze
98,Brian Robinson Jr.
99,Ladd McConkey
100,Joshua Palmer
101,Zack Moss
102,Josh Downs
103,Caleb Williams
104,Nick Chubb
105,T.J. Hockenson
106,Brock Purdy
107,Jakobi Meyers
108,Ezekiel Elliott
109,Devin Singletary
110,Jonathon Brooks
111,Pat Freiermuth
112,Justin Herbert
113,Chuba Hubbard
114,Romeo Doubs
115,Xavier Worthy
116,Dallas Goedert
117,Trevor Lawrence
118,Dalton Schultz
119,Zach Charbonnet
120,Cole Kmet
121,Gabe Davis
122,Curtis Samuel
123,Brandin Cooks
124,Jared Goff
125,Tyjae Spears
126,Jahan Dotson
127,Blake Corum
128,Brian Thomas Jr.
129,Jerome Ford
130,Keon Coleman
131,Tyler Allgeier
132,Khalil Shakir
133,Rico Dowdle
134,Trey Benson
135,Luke Musgrave
136,Kirk Cousins
137,Tua Tagovailoa
138,Jameson Williams
139,Jerry Jeudy
140,Matthew Stafford
141,Rashod Bateman
142,Antonio Gibson
143,Troy Franklin
144,Isaiah Likely
145,Marvin Mims Jr.
146,Jaxon Smith-Njigba
147,Roman Wilson
148,Adam Thielen
149,Chigoziem Okonkwo
150,Darnell Mooney
151,Michael Wilson
152,Rashid Shaheed
153,J.K. Dobbins
154,Jonnu Smith
155,Elijah Mitchell
156,Deshaun Watson
157,MarShawn Lloyd
158,Dontayvion Wicks
159,Adonai Mitchell
160,Ricky Pearsall
161,Demario Douglas
162,Ja'Lynn Polk
163,Ty Chandler
164,Roschon Johnson
165,Chase Brown
166,Khalil Herbert
167,Aaron Rodgers
168,Kendre Miller
169,Geno Smith
170,Xavier Legette
171,Noah Fant
172,AJ Dillon
173,Jaleel McLaughlin
174,Jaylen Wright
175,Miles Sanders
176,Wan'Dale Robinson
177,Bucky Irving
178,Cade Otton
179,Elijah Moore
180,Keaton Mitchell
181,Dameon Pierce
182,Treylon Burks
183,Jamaal Williams
184,Michael Mayer
185,Quentin Johnston
186,Juwan Johnson
187,Baker Mayfield
188,Jalin Hyatt
189,Will Levis
190,Hunter Henry
191,Greg Dortch
192,Darius Slayton
193,Charlie Jones
194,Tyler Conklin
195,Darren Waller
196,Clyde Edwards-Helaire
197,Tank Bigsby
198,Alexander Mattison
199,Zach Ertz
200,Calvin Austin III
201,Cleveland Browns
202,San Francisco 49ers
203,Dallas Cowboys
204,Kansas City Chiefs
205,Pittsburgh Steelers
206,Baltimore Ravens
207,New York Jets
208,New Orleans Saints
209,New England Patriots
210,Buffalo Bills
211,Chicago Bears
212,Philadelphia Eagles
213,Justin Tucker
214,Harrison Butker
215,Brandon Aubrey
216,Evan McPherson
217,Jake Elliott
218,Greg Zuerlein
219,Ka'imi Fairbairn
220,Jake Moody
221,Younghoe Koo
222,Cameron Dicker
223,Cairo Santos
224,Michael Badgley
